139 - Mt 10, 29.
140 - Io 10, 18.
141 - Cf. 1 Tim 3, 2.
142 - Phil 2, 6-8.
143 - Io 4, 24.
144 - Io 17, 3.
145 - Mt 18, 16.
146 - Phil 2, 6.
147 - Phil 2, 7. 9.
148 - Io 20, 17.
149 - Mt 28, 18-20.
150 - Eph 1, 17.
151 - 2 Cor 11, 31.
152 - Rom 15, 6.
153 - 2 Cor 1, 3.
154 - Ps 44, 8.
155 - Cf. Mt 3, 16.
156 - Ps 44, 8.
157 - Prov 8 30-31.
158 - Gen 1, 34.
159 - 2 Tim 3, 16.
160 - Mt 5, 18.
161 - Mt 24, 35.
162 - Cf. Io 1, 1-3.
163 - Cf. Col 1, 15.
164 - Ps 109, 3.
165 - 2 Cor 8, 9.
166 - Cf. Lc 2, 51.
167 - 1 Cor 15, 28.

22


